ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
229,24d09m53.2s,15d46m49.3s,54,47,52,0,2,-34,1.6,24.164777777777775,15.780361111111112
230,24d09m53.2s,15d47m52.8s,25,25,25,0,2,26,2.88,24.164777777777775,15.798
231,24d09m53.3s,15d46m22.4s,32,26,30,0,2,136,2.38,24.164805555555553,15.77288888888889
232,24d09m53.6s,15d47m48.4s,24,21,23,0,2,-4,2.7,24.16488888888889,15.796777777777777
233,24d09m53.6s,15d46m0.2s,20,15,19,0,4,30,3.26,24.16488888888889,15.766722222222223
234,24d09m53.8s,15d46m50.1s,40,38,39,0,2,-41,1.57,24.164944444444444,15.780583333333334
235,24d09m54.1s,15d46m11.3s,26,23,25,0,4,-68,2.79,24.165027777777777,15.769805555555557
236,24d09m54.2s,15d45m59.8s,20,15,18,0,4,30,3.27,24.165055555555554,15.76661111111111
237,24d09m54.2s,15d47m47.5s,39,33,37,0,2,-13,2.65,24.165055555555554,15.796527777777778
238,24d09m54.5s,15d48m17.6s,47,46,46,-90,2,205,3.93,24.165138888888887,15.80488888888889
239,24d09m54.8s,15d47m58.4s,37,37,37,0,2,55,3.08,24.16522222222222,15.799555555555555
240,24d09m55.0s,15d46m15.3s,58,54,57,0,4,-104,2.6,24.165277777777778,15.770916666666668
241,24d09m55.2s,15d48m17.0s,30,28,29,-90,2,197,3.88,24.165333333333333,15.804722222222223
242,24d09m55.4s,15d47m2.9s,32,31,31,-90,2,-103,1.4,24.165388888888888,15.784138888888888
243,24d09m55.5s,15d47m1.8s,24,21,23,0,2,-99,1.4,24.165416666666665,15.783833333333334
244,24d09m55.6s,15d46m11.8s,27,20,25,0,4,-73,2.73,24.165444444444443,15.769944444444445
245,24d09m56.1s,15d46m59.6s,30,30,30,0,2,-97,1.37,24.16558333333333,15.783222222222223
246,24d09m56.1s,15d47m1.9s,58,58,58,-90,2,-105,1.37,24.16558333333333,15.783861111111111
247,24d09m56.2s,15d46m10.6s,19,18,18,-90,4,-63,2.77,24.165611111111108,15.769611111111113
248,24d09m56.7s,15d48m18.1s,68,65,67,-90,2,201,3.91,24.16575,15.805027777777779
249,24d09m56.7s,15d48m9.7s,43,38,41,0,2,132,3.54,24.16575,15.802694444444445
250,24d09m56.9s,15d47m22.4s,41,32,38,0,2,-138,1.67,24.165805555555554,15.789555555555555
251,24d09m57.1s,15d48m7.0s,25,23,25,-90,2,109,3.41,24.16586111111111,15.801944444444445
252,24d09m57.1s,15d47m46.4s,94,87,92,0,2,-38,2.53,24.16586111111111,15.796222222222221
253,24d09m57.2s,15d46m10.0s,33,31,32,-90,4,-60,2.77,24.165888888888887,15.769444444444446
254,24d09m57.3s,15d46m16.7s,28,25,27,0,4,-119,2.49,24.165916666666664,15.771305555555557
255,24d09m57.5s,15d46m11.2s,19,17,18,0,4,-71,2.71,24.16597222222222,15.76977777777778
256,24d09m57.8s,15d45m53.8s,27,25,26,0,4,78,3.46,24.166055555555555,15.764944444444444
257,24d09m58.0s,15d47m59.8s,170,160,167,-90,2,51,3.08,24.16611111111111,15.799944444444444
258,24d09m58.6s,15d46m34.7s,29,28,29,0,2,21,1.78,24.166277777777776,15.776305555555556
